home_club,away_club,home_goals,away_goals,home_yellow_cards,away_yellow_cards,ano
Vasco da Gama,Chapecoense,1,1,2,3,2019
Avaí,Athletico-PR,0,0,2,1,2019
Fortaleza,Bahia,2,1,2,1,2019
Fortaleza,Athletico-PR,0,2,3,2,2020
Coritiba,Internacional,0,1,3,4,2020
Sport Recife,Ceará SC,3,2,3,3,2020
Santos,Bragantino,1,1,0,1,2020
Flamengo,Atlético-MG,0,1,3,2,2020
Grêmio,Fluminense,1,0,2,3,2020
Corinthians,Atlético-GO,0,0,2,0,2020
Botafogo,Bahia,1,2,2,3,2020
Goiás,São Paulo,0,3,3,0,2020
Palmeiras,Vasco da Gama,1,1,1,1,2020
Athletico-PR,Goiás,2,1,3,3,2020
Atlético-MG,Corinthians,3,2,0,1,2020
Bragantino,Botafogo,1,1,3,1,2020
Bahia,Coritiba,1,0,0,5,2020
Atlético-GO,Flamengo,3,0,1,1,2020
Ceará SC,Grêmio,1,1,3,1,2020
Fluminense,Palmeiras,1,1,3,3,2020
São Paulo,Fortaleza,1,0,1,2,2020
Internacional,Santos,2,0,2,3,2020
Vasco da Gama,Sport Recife,2,0,2,3,2020
Grêmio,Corinthians,0,0,2,3,2020
Coritiba,Flamengo,0,1,5,3,2020
Palmeiras,Goiás,1,1,1,3,2020
Atlético-MG,Ceará SC,2,0,2,4,2020
Bahia,Bragantino,2,1,1,1,2020
Vasco da Gama,São Paulo,2,1,2,5,2020
Fluminense,Internacional,2,1,2,2,2020
Atlético-GO,Sport Recife,1,1,1,2,2020
Fortaleza,Botafogo,0,0,2,1,2020
Santos,Athletico-PR,3,1,1,1,2020
Flamengo,Grêmio,1,1,3,3,2020
Bragantino,Fluminense,2,1,5,5,2020
Athletico-PR,Palmeiras,0,1,5,0,2020
Goiás,Fortaleza,1,3,4,2,2020
Internacional,Atlético-GO,3,0,3,3,2020
Corinthians,Coritiba,3,1,2,1,2020
Botafogo,Atlético-MG,2,1,2,0,2020
Sport Recife,Santos,0,1,5,2,2020
Ceará SC,Vasco da Gama,0,3,3,3,2020
São Paulo,Bahia,1,1,2,2,2020
Athletico-PR,Fluminense,0,1,4,3,2020
Internacional,Atlético-MG,1,0,1,2,2020
Goiás,Atlético-GO,2,0,5,2,2020
Flamengo,Botafogo,1,1,3,3,2020
Vasco da Gama,Grêmio,0,0,5,2,2020
Palmeiras,Santos,2,1,5,3,2020
Bragantino,Coritiba,1,2,2,0,2020
Sport Recife,São Paulo,0,1,2,3,2020
Ceará SC,Bahia,2,0,1,2,2020
Corinthians,Fortaleza,1,1,0,2,2020
São Paulo,Athletico-PR,1,0,2,1,2020
Corinthians,Bahia,3,2,3,2,2020
Fortaleza,Internacional,1,0,1,3,2020
Bragantino,Ceará SC,4,2,4,3,2020
Atlético-GO,Atlético-MG,3,4,2,0,2020
Grêmio,Palmeiras,1,1,2,3,2020
Coritiba,Vasco da Gama,1,0,1,2,2020
Botafogo,Santos,0,0,4,2,2020
Sport Recife,Fluminense,1,0,0,1,2020
Flamengo,Goiás,2,1,1,4,2020
Botafogo,Internacional,0,2,3,1,2020
Fluminense,Vasco da Gama,2,1,4,1,2020
Bahia,Palmeiras,1,1,2,2,2020
Fortaleza,Bragantino,3,0,2,2,2020
São Paulo,Corinthians,2,1,3,0,2020
Coritiba,Sport Recife,1,0,1,4,2020
Santos,Flamengo,0,1,6,7,2020
Atlético-GO,Ceará SC,0,2,1,2,2020
Atlético-MG,Athletico-PR,0,2,1,2,2020
Grêmio,Goiás,2,1,2,2,2020
Ceará SC,Fortaleza,1,0,2,2,2020
Fluminense,Atlético-GO,1,1,3,1,2020
Goiás,Corinthians,1,2,1,3,2020
Botafogo,Coritiba,0,0,1,1,2020
Athletico-PR,Bragantino,1,1,2,2,2020
Bahia,Flamengo,3,5,1,2,2020
Palmeiras,Internacional,1,1,3,5,2020
Santos,Vasco da Gama,2,2,2,3,2020
Grêmio,Sport Recife,1,2,1,5,2020
Atlético-MG,São Paulo,3,0,0,0,2020
Flamengo,Fortaleza,2,1,1,1,2020
Corinthians,Botafogo,2,2,3,1,2020
Ceará SC,Santos,0,1,3,4,2020
Bragantino,Palmeiras,1,2,1,3,2020
Internacional,Bahia,2,2,2,3,2020
São Paulo,Fluminense,3,1,3,0,2020
Vasco da Gama,Athletico-PR,1,0,1,1,2020
Atlético-GO,Grêmio,1,1,1,3,2020
Sport Recife,Goiás,2,1,1,0,2020
Coritiba,Atlético-MG,0,1,1,3,2020
Athletico-PR,Botafogo,1,1,1,0,2020
Fortaleza,Sport Recife,1,0,5,1,2020
Goiás,Coritiba,3,3,5,2,2020
São Paulo,Bragantino,1,1,4,2,2020
Fluminense,Flamengo,1,2,1,1,2020
Santos,Atlético-MG,3,1,1,2,2020
Internacional,Ceará SC,2,0,0,2,2020
Corinthians,Palmeiras,0,2,3,2,2020
Bahia,Grêmio,0,2,1,3,2020
Vasco da Gama,Atlético-GO,1,2,2,1,2020
Athletico-PR,Coritiba,1,0,4,1,2020
Santos,São Paulo,2,2,3,2,2020
Fluminense,Corinthians,2,1,2,4,2020
Grêmio,Fortaleza,1,1,1,2,2020
Atlético-MG,Bragantino,2,1,1,1,2020
Bahia,Atlético-GO,0,1,2,2,2020
Ceará SC,Flamengo,2,0,1,0,2020
Goiás,Internacional,1,0,4,3,2020
Palmeiras,Sport Recife,2,2,2,3,2020
Botafogo,Vasco da Gama,2,3,2,2,2020
Sport Recife,Corinthians,1,0,3,4,2020
Athletico-PR,Bahia,1,0,4,1,2020
Internacional,São Paulo,1,1,2,0,2020
Atlético-MG,Grêmio,3,1,1,1,2020
Vasco da Gama,Bragantino,1,1,2,1,2020
Palmeiras,Flamengo,1,1,4,2,2020
Ceará SC,Goiás,2,2,3,4,2020
Atlético-GO,Botafogo,1,1,2,3,2020
Santos,Fortaleza,1,1,1,1,2020
Fluminense,Coritiba,4,0,1,1,2020
Grêmio,Internacional,1,1,1,1,2020
Palmeiras,Ceará SC,2,1,1,4,2020
Bragantino,Corinthians,0,0,1,2,2020
Botafogo,Fluminense,1,1,0,1,2020
Coritiba,São Paulo,1,1,2,3,2020
Flamengo,Athletico-PR,3,1,3,4,2020
Fortaleza,Atlético-GO,0,0,5,5,2020
Goiás,Santos,2,3,4,3,2020
Bahia,Sport Recife,1,2,2,3,2020
Atlético-MG,Vasco da Gama,4,1,3,3,2020
Corinthians,Santos,1,1,2,2,2020
Flamengo,Sport Recife,3,0,0,3,2020
Bahia,Vasco da Gama,3,0,4,3,2020
Grêmio,Coritiba,2,1,2,2,2020
São Paulo,Atlético-GO,3,0,3,2,2020
Goiás,Fluminense,2,4,3,2,2020
Botafogo,Palmeiras,2,1,4,4,2020
Fortaleza,Atlético-MG,2,1,3,3,2020
Athletico-PR,Ceará SC,0,0,3,2,2020
Bragantino,Internacional,0,2,3,3,2020
Vasco da Gama,Flamengo,1,2,2,5,2020
Coritiba,Fortaleza,0,0,1,0,2020
Palmeiras,São Paulo,0,2,2,1,2020
Atlético-MG,Goiás,3,0,0,1,2020
Fluminense,Bahia,1,0,2,3,2020
Santos,Grêmio,2,1,2,3,2020
Sport Recife,Botafogo,1,2,3,2,2020
Atlético-GO,Bragantino,2,1,1,1,2020
Ceará SC,Corinthians,2,1,4,1,2020
Internacional,Athletico-PR,2,1,2,0,2020
Palmeiras,Coritiba,1,3,3,2,2020
Grêmio,Botafogo,3,1,3,2,2020
Santos,Atlético-GO,0,1,3,3,2020
Athletico-PR,Corinthians,0,1,3,3,2020
Atlético-MG,Fluminense,1,1,3,1,2020
Sport Recife,Internacional,3,5,3,2,2020
Flamengo,Bragantino,1,1,2,1,2020
Goiás,Bahia,1,1,5,4,2020
Vasco da Gama,Fortaleza,0,0,2,0,2020
Ceará SC,São Paulo,1,1,5,3,2020
Atlético-GO,Athletico-PR,1,1,3,5,2020
Coritiba,Santos,1,2,5,2,2020
Fluminense,Ceará SC,2,2,3,3,2020
São Paulo,Grêmio,0,0,4,2,2020
Corinthians,Flamengo,1,5,4,5,2020
Internacional,Vasco da Gama,2,0,1,1,2020
Bragantino,Sport Recife,2,0,2,2,2020
Fortaleza,Palmeiras,2,0,2,3,2020
Bahia,Atlético-MG,3,1,4,1,2020
Botafogo,Goiás,0,0,2,1,2020
Vasco da Gama,Corinthians,1,2,1,2,2020
Bragantino,Goiás,2,0,0,3,2020
Ceará SC,Coritiba,2,1,3,1,2020
Atlético-MG,Sport Recife,0,0,1,0,2020
Atlético-GO,Palmeiras,0,3,1,4,2020
Fluminense,Santos,3,1,5,4,2020
Athletico-PR,Grêmio,1,2,3,1,2020
Internacional,Flamengo,2,2,6,5,2020
Bahia,Fortaleza,2,1,3,3,2020
São Paulo,Botafogo,4,0,0,2,2020
Botafogo,Ceará SC,2,2,4,5,2020
Coritiba,Atlético-GO,1,0,2,5,2020
Corinthians,Internacional,1,0,4,3,2020
Fortaleza,Fluminense,0,1,2,1,2020
Flamengo,São Paulo,1,4,4,3,2020
Sport Recife,Athletico-PR,1,0,2,1,2020
Santos,Bahia,3,1,4,2,2020
Goiás,Vasco da Gama,1,1,5,7,2020
Palmeiras,Atlético-MG,3,0,2,1,2020
Grêmio,Bragantino,2,1,1,1,2020
Athletico-PR,Fortaleza,2,1,3,2,2020
São Paulo,Goiás,2,1,2,1,2020
Atlético-GO,Corinthians,1,1,3,4,2020
Vasco da Gama,Palmeiras,0,1,1,3,2020
Internacional,Coritiba,2,2,2,3,2020
Bragantino,Santos,1,1,1,4,2020
Atlético-MG,Flamengo,4,0,5,4,2020
Bahia,Botafogo,1,0,2,3,2020
Fluminense,Grêmio,0,1,0,1,2020
Ceará SC,Sport Recife,0,0,0,3,2020
Sport Recife,Vasco da Gama,0,2,0,2,2020
Santos,Internacional,2,0,1,2,2020
Goiás,Athletico-PR,0,1,5,1,2020
Corinthians,Atlético-MG,1,2,3,5,2020
Fortaleza,São Paulo,2,3,2,4,2020
Grêmio,Ceará SC,4,2,1,2,2020
Palmeiras,Fluminense,2,0,2,2,2020
Flamengo,Atlético-GO,1,1,2,1,2020
Coritiba,Bahia,1,2,3,4,2020
Botafogo,Bragantino,1,2,0,3,2020
Bragantino,Bahia,4,0,2,4,2020
Athletico-PR,Santos,1,0,0,2,2020
Flamengo,Coritiba,3,1,1,3,2020
Goiás,Palmeiras,1,0,2,2,2020
São Paulo,Vasco da Gama,1,1,2,4,2020
Ceará SC,Atlético-MG,2,2,4,1,2020
Internacional,Fluminense,1,2,2,4,2020
Botafogo,Fortaleza,1,2,1,1,2020
Corinthians,Grêmio,0,0,2,1,2020
Sport Recife,Atlético-GO,0,1,1,3,2020
Atlético-MG,Botafogo,2,1,2,4,2020
Coritiba,Corinthians,0,1,2,2,2020
Fortaleza,Goiás,1,1,2,0,2020
Palmeiras,Athletico-PR,3,0,2,1,2020
Santos,Sport Recife,4,2,3,3,2020
Bahia,São Paulo,1,3,0,2,2020
Atlético-GO,Internacional,0,0,1,3,2020
Vasco da Gama,Ceará SC,1,4,3,2,2020
Fluminense,Bragantino,0,0,2,3,2020
Grêmio,Flamengo,2,4,5,3,2020
Fortaleza,Corinthians,0,0,2,2,2020
Santos,Palmeiras,2,2,3,3,2020
Botafogo,Flamengo,0,1,1,1,2020
Fluminense,Athletico-PR,3,1,4,3,2020
Bahia,Ceará SC,0,2,2,2,2020
Coritiba,Bragantino,0,0,4,3,2020
São Paulo,Sport Recife,1,0,4,4,2020
Grêmio,Vasco da Gama,4,0,2,1,2020
Atlético-MG,Internacional,2,2,2,6,2020
Atlético-GO,Goiás,0,1,3,3,2020
Athletico-PR,Atlético-MG,0,1,2,2,2020
Bragantino,Fortaleza,2,1,3,2,2020
Internacional,Botafogo,2,1,4,5,2020
Palmeiras,Bahia,3,0,2,3,2020
Goiás,Grêmio,0,0,4,1,2020
Ceará SC,Atlético-GO,1,2,0,3,2020
Flamengo,Santos,4,1,2,1,2020
Corinthians,São Paulo,1,0,0,1,2020
Sport Recife,Coritiba,1,0,0,1,2020
Vasco da Gama,Fluminense,1,1,6,2,2020
São Paulo,Atlético-MG,3,0,2,3,2020
Atlético-GO,Fluminense,2,1,3,4,2020
Sport Recife,Grêmio,1,1,2,2,2020
Internacional,Palmeiras,2,0,4,2,2020
Coritiba,Botafogo,1,2,3,1,2020
Bragantino,Athletico-PR,0,1,2,5,2020
Vasco da Gama,Santos,1,0,2,0,2020
Flamengo,Bahia,4,3,1,3,2020
Fortaleza,Ceará SC,0,2,1,1,2020
Corinthians,Goiás,2,1,1,0,2020
Atlético-MG,Coritiba,2,0,0,0,2020
Goiás,Sport Recife,1,0,4,1,2020
Fortaleza,Flamengo,0,0,3,3,2020
Fluminense,São Paulo,1,2,3,1,2020
Botafogo,Corinthians,0,2,1,1,2020
Bahia,Internacional,1,2,3,1,2020
Athletico-PR,Vasco da Gama,3,0,0,1,2020
Palmeiras,Bragantino,1,0,3,0,2020
Santos,Ceará SC,1,1,2,3,2020
Grêmio,Atlético-GO,2,1,2,3,2020
Grêmio,Bahia,2,1,2,4,2020
Botafogo,Athletico-PR,0,2,3,2,2020
Coritiba,Goiás,1,2,4,3,2020
Sport Recife,Fortaleza,1,0,3,1,2020
Flamengo,Fluminense,1,2,1,4,2020
Bragantino,São Paulo,4,2,2,2,2020
Ceará SC,Internacional,0,2,6,4,2020
Atlético-GO,Vasco da Gama,0,0,3,2,2020
Palmeiras,Corinthians,4,0,2,3,2020
Atlético-MG,Santos,2,0,1,1,2020
Sport Recife,Palmeiras,0,1,5,3,2020
Coritiba,Athletico-PR,0,0,2,1,2020
Fortaleza,Grêmio,0,0,4,2,2020
São Paulo,Santos,0,1,2,4,2020
Flamengo,Ceará SC,0,2,3,1,2020
Atlético-GO,Bahia,1,1,2,0,2020
Internacional,Goiás,1,0,0,2,2020
Vasco da Gama,Botafogo,3,0,1,0,2020
Bragantino,Atlético-MG,2,2,4,0,2020
Corinthians,Fluminense,5,0,1,2,2020
Palmeiras,Grêmio,1,1,3,1,2020
Fluminense,Sport Recife,1,0,1,1,2020
Vasco da Gama,Coritiba,0,1,2,2,2020
Athletico-PR,São Paulo,1,1,2,1,2020
Santos,Botafogo,2,1,2,1,2020
Atlético-MG,Atlético-GO,3,1,2,3,2020
Ceará SC,Bragantino,1,2,1,2,2020
Internacional,Fortaleza,4,2,0,3,2020
Goiás,Flamengo,0,3,5,1,2020
Bahia,Corinthians,2,1,3,1,2020
Botafogo,Atlético-GO,1,3,2,3,2020
Bahia,Athletico-PR,1,0,2,0,2020
Grêmio,Atlético-MG,1,1,1,1,2020
Coritiba,Fluminense,3,3,1,4,2020
São Paulo,Internacional,1,5,2,1,2020
Bragantino,Vasco da Gama,4,1,0,0,2020
Flamengo,Palmeiras,2,0,2,2,2020
Fortaleza,Santos,2,0,3,0,2020
Goiás,Ceará SC,0,4,1,0,2020
Corinthians,Sport Recife,3,0,1,0,2020
São Paulo,Coritiba,1,1,1,2,2020
Vasco da Gama,Atlético-MG,3,2,4,1,2020
Internacional,Grêmio,2,1,2,2,2020
Athletico-PR,Flamengo,2,1,2,0,2020
Ceará SC,Palmeiras,2,1,3,5,2020
Atlético-GO,Fortaleza,2,0,2,2,2020
Sport Recife,Bahia,2,0,3,0,2020
Santos,Goiás,3,4,4,4,2020
Fluminense,Botafogo,2,0,2,1,2020
Corinthians,Bragantino,0,2,5,4,2020
Vasco da Gama,Bahia,0,0,1,3,2020
Ceará SC,Athletico-PR,0,2,0,2,2020
Atlético-GO,São Paulo,2,1,3,1,2020
Coritiba,Grêmio,1,1,3,3,2020
Atlético-MG,Fortaleza,2,0,0,1,2020
Internacional,Bragantino,2,1,3,0,2020
Fluminense,Goiás,3,0,1,2,2020
Sport Recife,Flamengo,0,3,2,2,2020
Palmeiras,Botafogo,1,1,2,1,2020
Santos,Corinthians,1,0,0,0,2020
Grêmio,Santos,3,3,5,2,2020
Bragantino,Atlético-GO,2,0,3,3,2020
Corinthians,Ceará SC,2,1,0,0,2020
Goiás,Atlético-MG,1,0,3,3,2020
Bahia,Fluminense,0,1,1,1,2020
Fortaleza,Coritiba,3,1,2,5,2020
Flamengo,Vasco da Gama,2,0,1,3,2020
Athletico-PR,Internacional,0,0,3,2,2020
Botafogo,Sport Recife,0,1,1,3,2020
São Paulo,Palmeiras,1,1,2,1,2020
Bahia,Goiás,3,3,3,4,2020
Atlético-GO,Santos,1,1,2,2,2020
Bragantino,Flamengo,1,1,4,2,2020
Botafogo,Grêmio,2,5,0,0,2020
Internacional,Sport Recife,1,2,2,3,2020
Fortaleza,Vasco da Gama,3,0,2,3,2020
São Paulo,Ceará SC,1,1,4,4,2020
Fluminense,Atlético-MG,0,0,0,1,2020
Corinthians,Athletico-PR,3,3,3,0,2020
Coritiba,Palmeiras,1,0,2,3,2020
Goiás,Botafogo,2,0,4,3,2020
Atlético-MG,Bahia,1,1,1,1,2020
Santos,Coritiba,2,0,0,4,2020
Flamengo,Corinthians,2,1,1,5,2020
Vasco da Gama,Internacional,0,2,1,6,2020
Athletico-PR,Atlético-GO,2,1,3,1,2020
Palmeiras,Fortaleza,3,0,0,3,2020
Grêmio,São Paulo,1,2,5,4,2020
Ceará SC,Fluminense,1,3,1,1,2020
Sport Recife,Bragantino,0,0,3,0,2020
Coritiba,Ceará SC,0,2,1,0,2020
Fortaleza,Bahia,0,4,4,3,2020
Sport Recife,Atlético-MG,2,3,4,4,2020
Corinthians,Vasco da Gama,0,0,1,2,2020
Flamengo,Internacional,2,1,4,0,2020
Santos,Fluminense,1,1,3,4,2020
Grêmio,Athletico-PR,1,0,3,1,2020
Goiás,Bragantino,0,0,2,0,2020
Palmeiras,Atlético-GO,1,1,2,1,2020
Botafogo,São Paulo,1,0,3,5,2020
Bragantino,Grêmio,1,0,4,0,2020
Bahia,Santos,2,0,0,0,2020
Athletico-PR,Sport Recife,2,0,0,1,2020
Atlético-GO,Coritiba,3,1,0,1,2020
Internacional,Corinthians,0,0,0,2,2020
Ceará SC,Botafogo,2,1,3,0,2020
São Paulo,Flamengo,2,1,6,3,2020
Atlético-MG,Palmeiras,2,0,3,0,2020
Vasco da Gama,Goiás,3,2,1,2,2020
Fluminense,Fortaleza,2,0,0,0,2020
Cuiabá,Juventude,2,2,1,3,2021
Bahia,Santos,3,0,3,3,2021
São Paulo,Fluminense,0,0,1,2,2021
Atlético-MG,Fortaleza,1,2,2,4,2021
Flamengo,Palmeiras,1,0,2,3,2021
Ceará SC,Grêmio,3,2,3,3,2021
Corinthians,Atlético-GO,0,1,5,3,2021
Chapecoense,Bragantino,0,3,1,0,2021
Athletico-PR,América-MG,1,0,1,2,2021
Internacional,Sport Recife,2,2,4,2,2021
Atlético-GO,São Paulo,2,0,4,5,2021
Santos,Ceará SC,3,1,3,1,2021
Bragantino,Bahia,3,3,2,4,2021
Fluminense,Cuiabá,1,0,2,1,2021
América-MG,Corinthians,0,1,2,3,2021
Fortaleza,Internacional,5,1,1,4,2021
Juventude,Athletico-PR,0,3,0,2,2021
Palmeiras,Chapecoense,3,1,2,0,2021
Sport Recife,Atlético-MG,0,1,3,2,2021
Grêmio,Flamengo,2,2,3,2,2021
Santos,Juventude,0,0,2,3,2021
Palmeiras,Corinthians,1,1,3,0,2021
Atlético-MG,São Paulo,1,0,0,1,2021
Grêmio,Athletico-PR,0,1,5,4,2021
Flamengo,América-MG,2,0,0,0,2021
Bahia,Internacional,0,1,4,4,2021
Fortaleza,Sport Recife,1,0,3,3,2021
Bragantino,Fluminense,2,2,3,1,2021
Chapecoense,Ceará SC,0,0,2,2,2021
Cuiabá,Atlético-GO,2,1,5,4,2021
Internacional,Atlético-MG,0,1,3,1,2021
São Paulo,Chapecoense,1,1,3,2,2021
Corinthians,Bragantino,1,2,2,0,2021
Juventude,Palmeiras,0,3,0,3,2021
América-MG,Cuiabá,0,0,1,1,2021
Ceará SC,Bahia,1,2,3,5,2021
Sport Recife,Grêmio,1,0,5,4,2021
Atlético-GO,Fortaleza,0,0,3,1,2021
Fluminense,Santos,1,0,4,3,2021
Athletico-PR,Flamengo,2,2,4,2,2021
Flamengo,Bragantino,2,3,2,3,2021
Palmeiras,América-MG,2,1,3,4,2021
Bahia,Corinthians,0,0,1,3,2021
Internacional,Ceará SC,1,1,2,3,2021
Fortaleza,Fluminense,1,1,3,0,2021
Athletico-PR,Atlético-GO,2,1,2,2,2021
Santos,São Paulo,2,0,2,4,2021
Juventude,Sport Recife,1,0,4,0,2021
Atlético-MG,Chapecoense,1,1,1,1,2021
Cuiabá,Grêmio,0,1,1,5,2021
Atlético-GO,Fluminense,1,0,3,3,2021
São Paulo,Cuiabá,2,2,1,1,2021
Flamengo,Fortaleza,2,1,1,1,2021
Bragantino,Palmeiras,3,1,3,3,2021
América-MG,Juventude,1,1,2,2,2021
Chapecoense,Internacional,1,2,2,3,2021
Corinthians,Sport Recife,2,1,0,3,2021
Ceará SC,Atlético-MG,2,1,3,4,2021
Bahia,Athletico-PR,2,1,2,1,2021
Grêmio,Santos,2,2,2,3,2021
Juventude,Flamengo,1,0,2,1,2021
Fluminense,Corinthians,1,1,3,1,2021
Palmeiras,Bahia,3,2,3,4,2021
Athletico-PR,Chapecoense,2,2,1,1,2021
Grêmio,Fortaleza,0,0,2,4,2021
Santos,Atlético-MG,2,0,4,3,2021
América-MG,Internacional,1,1,2,3,2021
Sport Recife,Cuiabá,0,0,0,1,2021
Ceará SC,São Paulo,1,1,4,6,2021
Atlético-GO,Bragantino,0,1,2,2,2021
Fluminense,Athletico-PR,1,4,1,2,2021
Fortaleza,Chapecoense,3,2,3,3,2021
Internacional,Palmeiras,1,2,3,2,2021
Bahia,América-MG,3,4,4,0,2021
Santos,Sport Recife,0,0,1,4,2021
Corinthians,São Paulo,0,0,1,1,2021
Juventude,Grêmio,2,0,3,0,2021
Bragantino,Ceará SC,0,0,1,3,2021
Atlético-MG,Atlético-GO,4,1,0,2,2021
Cuiabá,Flamengo,0,2,3,5,2021
Athletico-PR,Fortaleza,2,1,3,3,2021
América-MG,Santos,2,0,4,3,2021
Corinthians,Internacional,1,1,2,2,2021
Chapecoense,Bahia,0,2,2,1,2021
Flamengo,Fluminense,0,1,2,1,2021
Sport Recife,Palmeiras,0,1,2,1,2021
Ceará SC,Juventude,2,0,2,2,2021
São Paulo,Bragantino,1,2,1,2,2021
Cuiabá,Atlético-MG,0,1,5,2,2021
Grêmio,Atlético-GO,0,1,3,0,2021
Santos,Athletico-PR,2,1,2,2,2021
Bahia,Juventude,1,0,2,3,2021
Bragantino,Cuiabá,1,1,3,2,2021
Fortaleza,América-MG,4,0,2,1,2021
Palmeiras,Grêmio,2,0,2,2,2021
Atlético-MG,Flamengo,2,1,1,1,2021
Atlético-GO,Sport Recife,1,1,4,1,2021
Internacional,São Paulo,0,2,2,3,2021
Fluminense,Ceará SC,0,0,2,3,2021
Chapecoense,Corinthians,0,1,3,0,2021
Palmeiras,Santos,3,2,1,6,2021
Grêmio,Internacional,0,0,1,2,2021
Athletico-PR,Bragantino,2,2,0,4,2021
Sport Recife,Fluminense,1,2,1,3,2021
São Paulo,Bahia,1,0,0,1,2021
América-MG,Atlético-MG,0,1,1,1,2021
Juventude,Atlético-GO,1,1,2,2,2021
Cuiabá,Ceará SC,2,2,1,2,2021
Flamengo,Chapecoense,2,1,3,3,2021
Fortaleza,Corinthians,1,0,4,3,2021
Ceará SC,Athletico-PR,1,0,4,3,2021
São Paulo,Fortaleza,0,1,3,2,2021
Corinthians,Atlético-MG,1,2,0,2,2021
Fluminense,Grêmio,0,1,1,4,2021
Chapecoense,Cuiabá,2,3,2,2,2021
Atlético-GO,Palmeiras,0,3,2,1,2021
Bahia,Flamengo,0,5,5,1,2021
Internacional,Juventude,1,0,4,4,2021
Bragantino,Santos,2,2,3,6,2021
América-MG,Sport Recife,0,1,1,3,2021
Grêmio,América-MG,1,1,3,3,2021
Palmeiras,Fluminense,1,0,1,2,2021
Atlético-MG,Bahia,3,0,2,1,2021
Fortaleza,Bragantino,1,0,4,2,2021
Flamengo,São Paulo,5,1,3,6,2021
Santos,Atlético-GO,0,1,2,2,2021
Athletico-PR,Internacional,2,1,4,3,2021
Sport Recife,Ceará SC,0,0,4,1,2021
Juventude,Chapecoense,1,0,5,1,2021
Cuiabá,Corinthians,1,2,2,1,2021
São Paulo,Palmeiras,0,0,3,3,2021
Internacional,Cuiabá,0,0,2,3,2021
Bragantino,Grêmio,1,0,1,2,2021
Corinthians,Flamengo,1,3,1,1,2021
Atlético-MG,Athletico-PR,2,0,3,3,2021
Chapecoense,Santos,0,1,0,0,2021
Bahia,Sport Recife,0,1,2,3,2021
Atlético-GO,América-MG,1,1,4,0,2021
Ceará SC,Fortaleza,3,1,2,3,2021
Fluminense,Juventude,1,1,2,1,2021
Sport Recife,Bragantino,0,0,3,1,2021
Athletico-PR,São Paulo,1,2,2,4,2021
Palmeiras,Fortaleza,2,3,5,2,2021
Cuiabá,Bahia,1,1,1,2,2021
Juventude,Atlético-MG,1,2,1,3,2021
América-MG,Fluminense,1,0,2,2,2021
Santos,Corinthians,0,0,1,1,2021
Ceará SC,Atlético-GO,0,0,2,2,2021
Flamengo,Internacional,0,4,2,2,2021
Grêmio,Chapecoense,2,1,1,3,2021
Bragantino,Juventude,1,2,4,4,2021
Atlético-MG,Palmeiras,2,0,2,1,2021
São Paulo,Grêmio,2,1,3,1,2021
Flamengo,Sport Recife,2,0,4,1,2021
Corinthians,Ceará SC,3,1,1,1,2021
Bahia,Atlético-GO,1,2,2,0,2021
Cuiabá,Athletico-PR,1,0,1,1,2021
Fortaleza,Santos,1,1,2,1,2021
Internacional,Fluminense,4,2,2,0,2021
Chapecoense,América-MG,1,1,1,1,2021
Atlético-GO,Chapecoense,1,1,2,5,2021
Grêmio,Bahia,2,0,1,1,2021
Juventude,Fortaleza,1,1,1,1,2021
Palmeiras,Cuiabá,0,2,1,1,2021
Ceará SC,Flamengo,1,1,0,2,2021
Athletico-PR,Corinthians,0,1,1,0,2021
Santos,Internacional,2,2,2,2,2021
Sport Recife,São Paulo,0,1,2,2,2021
América-MG,Bragantino,0,2,2,0,2021
Fluminense,Atlético-MG,1,1,3,3,2021
Sport Recife,Chapecoense,0,0,1,1,2021
Santos,Flamengo,0,4,4,4,2021
Grêmio,Corinthians,0,1,1,2,2021
Palmeiras,Athletico-PR,2,1,3,0,2021
América-MG,Ceará SC,2,0,1,2,2021
Juventude,São Paulo,1,1,2,5,2021
Atlético-GO,Internacional,0,0,1,2,2021
Bragantino,Atlético-MG,1,1,3,4,2021
Fluminense,Bahia,2,0,2,4,2021
Fortaleza,Cuiabá,0,0,2,5,2021
Bahia,Fortaleza,4,2,3,1,2021
Cuiabá,Santos,2,1,3,1,2021
Athletico-PR,Sport Recife,0,0,1,2,2021
Corinthians,Juventude,1,1,3,4,2021
Chapecoense,Fluminense,1,2,0,0,2021
São Paulo,América-MG,0,0,3,1,2021
Ceará SC,Palmeiras,1,2,4,2,2021
Internacional,Bragantino,1,1,5,2,2021
Atlético-MG,Grêmio,2,1,5,6,2021
Flamengo,Atlético-GO,2,0,2,1,2021
América-MG,Athletico-PR,2,0,1,1,2021
Juventude,Cuiabá,1,2,3,5,2021
Bragantino,Chapecoense,1,2,4,2,2021
Santos,Bahia,0,0,1,4,2021
Grêmio,Ceará SC,2,0,0,0,2021
Fortaleza,Atlético-MG,0,2,1,2,2021
Palmeiras,Flamengo,1,3,0,2,2021
Atlético-GO,Corinthians,1,1,4,2,2021
Fluminense,São Paulo,2,1,5,4,2021
Sport Recife,Internacional,0,1,4,1,2021
Chapecoense,Palmeiras,0,2,2,2,2021
Athletico-PR,Juventude,2,1,5,1,2021
Atlético-MG,Sport Recife,3,0,2,3,2021
Bahia,Bragantino,1,1,1,4,2021
Ceará SC,Santos,0,0,3,2,2021
